School,Level,Affiliation
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
GS  ,U03,GSUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
CC  ,U02,CCUNDC
CC  ,U02,CCUNDC
GS  ,U03,GSUNDC
CC  ,U02,CCUNDC
GS  ,U03,GSUNDC
BC  ,U04,BCCR  
CC  ,U04,CCCLAS
CC  ,U03,CCECON
GS  ,U03,GSUNDC
BC  ,U03,BCCR  
GN  ,U05,GNPREM
BC  ,U02,BCCR  
GS  ,U03,GSUNDC
CC  ,U01,CCUNDC
CC  ,U02,CCUNDC
CC  ,U01,CCUNDC
GS  ,U04,GSECON
CC  ,U01,CCUNDC
SP  ,U00,SPGRAD
GS  ,U04,GSUNDC
CC  ,U02,CCUNDC
GS  ,U03,GSUNDC
CC  ,U02,CCUNDC
CC  ,U02,CCUNDC
CC  ,U01,CCUNDC
CC  ,U01,CCUNDC
GS  ,U03,GSECON
GS  ,U03,GSUNDC
CC  ,U03,CCECON
CC  ,U03,CCECPO
CC  ,U01,CCUNDC
CC  ,U03,CCECON
CC  ,U02,CCUNDC
